,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,san rafael,-34.62,-68.33,73.53,19,5,8.55,AR,1600881403
140,harper,4.38,-7.72,78.3,85,53,12.68,LR,1600881518
141,clyde river,70.47,-68.59,33.8,74,20,9.17,CA,1600881519
142,hay river,60.82,-115.8,55.4,58,75,8.05,CA,1600881519
143,sorong,-0.88,131.25,78.3,87,83,7.05,ID,1600881520
144,nieuw amsterdam,5.88,-55.08,95.0,52,20,6.93,SR,1600881520
145,norman wells,65.28,-126.83,42.8,75,20,6.93,CA,1600881520
146,riverton,40.52,-111.94,77.0,36,7,11.41,US,1600881483
147,berdigestyakh,62.1,126.7,36.81,87,45,2.48,RU,1600881521
148,puerto el triunfo,13.28,-88.55,87.8,79,20,2.24,SV,1600881521
149,puerto ayora,-0.74,-90.35,71.01,83,93,7.0,EC,1600881521
150,albesti,47.7,27.07,66.99,48,11,9.17,RO,1600881521
151,mar del plata,-38.0,-57.56,62.6,55,94,6.93,AR,1600881522
152,lata,40.16,-8.33,75.0,77,40,5.82,PT,1600881522
153,upernavik,72.79,-56.15,27.0,97,98,8.95,GL,1600881522
154,riedlingen,48.15,9.48,62.6,77,20,3.36,DE,1600881523
155,ilulissat,69.22,-51.1,28.4,58,20,5.82,GL,1600881523
156,saint-francois,46.42,3.91,73.4,49,44,3.36,FR,1600881523
157,wote,-1.78,37.63,69.73,73,49,9.71,KE,1600881524
158,maragogi,-9.01,-35.22,79.47,69,35,12.77,BR,1600881524
159,mumford,5.26,-0.76,76.62,85,64,13.94,GH,1600881524
160,narsipatnam,17.67,82.62,84.2,83,40,2.24,IN,1600881524
161,faanui,-16.48,-151.75,78.62,80,17,17.34,PF,1600881524
162,santa marta,11.24,-74.2,89.6,75,40,5.82,CO,1600881429
163,touros,-5.2,-35.46,86.0,55,40,17.22,BR,1600881525
164,akyab,20.15,92.9,82.04,85,100,4.43,MM,1600881525
165,vila velha,-20.33,-40.29,69.8,94,90,20.8,BR,1600881286
166,maryville,35.76,-83.97,70.0,60,75,10.29,US,1600881525
167,irbil,36.19,44.01,84.2,21,0,4.7,IQ,1600881525
168,oistins,13.07,-59.53,89.6,66,20,13.87,BB,1600881526
169,abonnema,4.71,6.79,78.8,88,75,4.7,NG,1600881526
170,koutiala,12.39,-5.46,83.68,71,97,6.26,ML,1600881526
171,severo-kurilsk,50.68,156.12,46.51,75,4,14.79,RU,1600881527
