,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,mount gambier,-37.83,140.77,51.8,76,90,17.22,AU,1600824444
262,beloha,-25.17,45.05,60.91,67,40,10.42,MG,1600824688
263,oriximina,-1.77,-55.87,82.51,66,21,4.68,BR,1600824688
264,muli,2.92,73.57,79.86,83,100,6.17,MV,1600824688
265,prince rupert,54.32,-130.32,59.0,58,90,9.17,CA,1600824609
266,batemans bay,-35.72,150.18,68.0,58,0,7.0,AU,1600824688
267,sri aman,1.24,111.46,78.8,88,20,3.36,MY,1600824688
268,viedma,-40.81,-63.0,46.0,62,90,7.49,AR,1600824688
269,ylivieska,64.08,24.55,46.99,89,100,1.01,FI,1600824689
270,uyuni,-20.46,-66.83,46.0,41,0,5.08,BO,1600824689
271,ambon,-3.7,128.18,84.2,79,40,3.36,ID,1600824689
272,rio grande,-32.03,-52.1,53.82,74,7,12.77,BR,1600824476
273,brigham city,41.51,-112.02,80.6,18,1,3.36,US,1600824689
274,kamaishi,39.27,141.88,71.6,68,75,6.93,JP,1600824689
275,isangel,-19.55,169.27,80.6,61,75,11.41,VU,1600824690
276,dikson,73.51,80.55,41.49,87,100,14.18,RU,1600824690
277,kurush,41.28,47.83,64.4,82,90,2.24,RU,1600824690
278,conde,-7.26,-34.91,73.4,94,20,4.7,BR,1600824690
279,kichera,55.94,110.1,51.04,55,0,3.11,RU,1600824690
280,ordzhonikidze,52.44,61.74,50.65,78,100,23.62,KZ,1600824690
282,yatou,37.15,122.38,70.48,60,99,7.0,CN,1600824691
283,asfi,32.3,-9.24,71.58,69,98,15.99,MA,1600824691
284,kalmunai,7.42,81.82,83.62,66,64,1.12,LK,1600824691
285,kemin,42.78,75.69,45.63,58,5,1.43,KG,1600824545
286,half moon bay,37.46,-122.43,73.99,82,1,11.41,US,1600824670
287,kahului,20.89,-156.47,89.6,49,40,24.16,US,1600824691
288,ntcheu,-14.82,34.64,57.87,88,25,6.42,MW,1600824692
289,namatanai,-3.67,152.43,85.21,66,94,4.94,PG,1600824692
290,qinhuangdao,39.93,119.59,70.57,52,100,7.11,CN,1600824692
291,lompoc,34.64,-120.46,66.99,72,1,9.17,US,1600824692
292,nabire,-3.37,135.48,80.82,77,100,4.29,ID,1600824692
293,sur,22.57,59.53,81.7,40,76,1.66,OM,1600824693
294,vila velha,-20.33,-40.29,80.01,94,75,11.41,BR,1600824693
295,saint anthony,45.02,-93.22,73.0,68,1,5.82,US,1600824693
296,shurugwi,-19.67,30.01,52.72,90,95,10.98,ZW,1600824693
297,chernyshevskiy,63.01,112.47,48.33,72,0,7.38,RU,1600824693
298,jibuti,11.5,42.5,87.8,70,1,3.36,DJ,1600824693
299,sao domingos do prata,-19.86,-42.97,63.52,92,99,5.28,BR,1600824694
300,beringovskiy,63.05,179.32,45.52,58,43,3.94,RU,1600824694
301,awjilah,29.11,21.29,69.28,58,0,7.16,LY,1600824694
302,tatawin,32.93,10.45,86.0,25,96,5.79,TN,1600824694
303,barabash,43.2,131.48,64.4,72,40,4.47,RU,1600824695
304,trairi,-3.28,-39.27,77.31,80,15,12.86,BR,1600824431
305,srednekolymsk,67.45,153.68,43.7,80,93,1.95,RU,1600824695
306,ouricuri,-7.88,-40.08,78.78,58,55,9.42,BR,1600824695
307,montgomery,39.15,-77.2,55.99,81,1,8.43,US,1600824695
308,teeli,51.03,90.23,51.94,60,100,1.23,RU,1600824695
309,eidsvag,62.78,8.07,50.0,87,17,14.99,NO,1600824696
310,zavitinsk,50.12,129.45,53.17,81,100,10.42,RU,1600824696
311,stornoway,58.21,-6.39,43.0,93,30,4.7,GB,1600824696
313,waterloo,43.47,-80.52,61.0,72,1,9.17,CA,1600824476
314,nova vicosa,-17.89,-39.37,74.28,85,89,9.01,BR,1600824485
315,yaan,7.38,8.57,73.92,92,100,7.58,NG,1600824696
316,nevers,46.92,3.33,59.0,87,53,4.7,FR,1600824697
317,creel,27.75,-107.63,58.89,72,100,6.33,MX,1600824697
318,san felipe,10.34,-68.74,74.73,86,58,2.86,VE,1600824697
319,hoquiam,46.98,-123.89,63.0,72,1,4.7,US,1600824697
320,tawau,4.25,117.89,84.2,74,20,3.36,MY,1600824445
321,airai,-8.93,125.41,77.95,44,14,5.5,TL,1600824697
322,rochegda,62.8,43.25,41.22,77,99,8.86,RU,1600824698
323,la ronge,55.1,-105.28,50.0,61,40,5.82,CA,1600824698
324,magadan,59.57,150.8,46.0,55,0,4.85,RU,1600824698
325,baiyin,36.56,104.21,50.0,87,21,2.24,CN,1600824698
326,marsaxlokk,35.84,14.54,78.01,94,20,8.05,MT,1600824698
327,tura,25.52,90.22,75.87,97,96,5.77,IN,1600824699
328,diego de almagro,-26.37,-70.05,57.51,37,1,1.99,CL,1600824699
329,broken hill,-31.95,141.43,59.0,44,40,21.92,AU,1600824699
330,rotenburg,53.12,9.4,53.01,66,0,4.52,DE,1600824699
331,viransehir,37.24,39.76,73.11,31,0,3.4,TR,1600824699
332,yueyang,29.33,113.09,65.5,91,100,7.92,CN,1600824700
333,la orilla,17.98,-102.23,79.95,87,18,7.25,MX,1600824700
334,anadyr,64.75,177.48,46.4,65,37,11.18,RU,1600824700
335,lashio,22.93,97.75,72.16,95,100,0.56,MM,1600824700
336,channel-port aux basques,47.57,-59.14,56.12,91,98,41.16,CA,1600824701
337,umea,63.83,20.26,48.2,81,90,8.05,SE,1600824701
338,davenport,41.52,-90.58,69.01,77,1,5.68,US,1600824441
339,rundu,-17.93,19.77,67.24,27,0,6.49,NA,1600824701
340,huarmey,-10.07,-78.15,61.57,84,9,5.68,PE,1600824701
341,praya,14.92,-23.51,78.8,94,20,6.93,CV,1600824702
342,elizabethtown,37.69,-85.86,60.01,87,1,4.09,US,1600824702
343,zhangjiakou,40.81,114.88,55.63,76,100,7.16,CN,1600824702
344,redlands,34.06,-117.18,91.4,21,5,12.75,US,1600824703
345,vao,-22.67,167.48,70.47,78,1,11.36,NC,1600824703
346,henties bay,-22.12,14.28,55.0,92,25,2.37,NA,1600824703
347,ternate,0.8,127.4,85.28,67,68,2.91,ID,1600824703
348,yurkivka,49.01,31.1,51.44,44,0,4.32,UA,1600824704
349,juneau,58.3,-134.42,53.6,71,90,13.87,US,1600824694
350,port lincoln,-34.73,135.87,56.21,69,46,15.14,AU,1600824704
351,lowestoft,52.48,1.75,61.0,99,9,3.0,GB,1600824579
352,agutaya,11.15,120.94,84.67,71,18,5.35,PH,1600824704
353,santa marta,11.24,-74.2,79.0,87,100,10.78,CO,1600824408
354,biak,-0.91,122.88,82.58,72,94,8.01,ID,1600824705
355,yining,29.04,114.56,64.24,92,100,2.13,CN,1600824705
356,aparecida do taboado,-20.09,-51.09,71.31,61,52,11.52,BR,1600824706
358,buchanan,5.88,-10.05,76.01,89,90,7.14,LR,1600824706
359,byron bay,-28.65,153.62,82.0,47,33,4.7,AU,1600824706
360,lorengau,-2.02,147.27,85.82,69,98,10.22,PG,1600824707
361,kapoeta,4.77,33.59,73.81,81,53,3.27,SS,1600824707
362,halifax,44.65,-63.57,59.0,98,100,7.0,CA,1600824427
363,iquique,-20.22,-70.14,60.8,72,90,3.36,CL,1600824433
364,tazovskiy,67.47,78.7,39.96,84,100,12.1,RU,1600824707
365,coihaique,-45.58,-72.07,42.8,70,20,7.31,CL,1600824708
366,provideniya,64.38,-173.3,46.4,61,74,11.18,RU,1600824708
367,pauini,-7.71,-66.98,77.85,75,6,0.29,BR,1600824709
368,paita,-5.09,-81.11,62.94,85,5,8.34,PE,1600824709
369,nantucket,41.28,-70.1,62.6,39,1,16.11,US,1600824709
370,vestmannaeyjar,63.44,-20.27,40.96,75,100,13.44,IS,1600824709
371,hamilton,39.18,-84.53,62.01,82,1,1.01,US,1600824709
372,makokou,0.57,12.86,69.42,97,100,3.42,GA,1600824710
373,yokadouma,3.52,15.05,69.49,97,100,3.2,CM,1600824710
374,yar-sale,66.83,70.83,36.84,87,21,12.68,RU,1600824710
375,pangody,65.85,74.49,37.24,89,90,13.22,RU,1600824711
376,les cayes,18.2,-73.75,78.76,79,100,3.36,HT,1600824711
377,nauta,-4.51,-73.58,76.33,85,67,3.13,PE,1600824711
378,codrington,-38.27,141.97,51.24,69,100,16.84,AU,1600824711
379,phan thiet,10.93,108.1,84.56,71,60,5.41,VN,1600824711
380,bunbury,-33.33,115.63,64.0,58,0,4.56,AU,1600824712
381,podporozhye,60.91,34.17,41.13,82,45,1.72,RU,1600824712
382,olkhovka,53.21,60.61,52.48,77,100,21.81,RU,1600824712
383,kapuskasing,49.42,-82.43,60.8,82,90,4.7,CA,1600824712
384,townsville,-19.25,146.8,82.99,58,20,11.41,AU,1600824713
385,teya,60.38,92.63,47.25,82,100,2.55,RU,1600824713
386,saiha,22.48,92.97,77.79,84,89,1.61,IN,1600824713
387,bujumbura,-3.38,29.36,72.82,62,33,4.61,BI,1600824714
388,mastung,29.8,66.84,59.47,30,0,2.57,PK,1600824680
389,yulara,-25.24,130.99,69.8,26,0,17.22,AU,1600824714
390,victoria point,-27.58,153.3,82.99,67,84,4.0,AU,1600824714
391,gombe,10.29,11.17,73.78,88,0,7.38,NG,1600824714
392,port-gentil,-0.72,8.78,75.81,86,100,12.88,GA,1600824714
393,pisco,-13.7,-76.22,62.01,87,0,9.17,PE,1600824715
394,carora,10.18,-70.08,80.51,64,52,6.13,VE,1600824715
395,suleja,9.18,7.18,75.2,94,95,2.24,NG,1600824715
396,fonseca,10.89,-72.85,76.24,88,95,1.95,CO,1600824715
